Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
ATELIER VÉZANNE;Bijou;;;2 Rue Hoche;;72270;;MALICORNE-SUR-SARTHE;;72179;47.81376;-0.08763;;06 77 11 78 70;;;contact@vezanne.com;https://vezanne.fr/;;;"Facebook||https://www.facebook.com/ateliervezanne/;Instagram||https://www.instagram.com/ateliervezanne/";;Artisanat / Art;;;oui;;;;;"Anglais;Espagnol;Français";;;;oui;;;;;;;;;Français;;;oui;01/01/2022||31/12/2022||Atelier ouvert sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.81376,-0.08763;Sarthe
LE MARCHÉ DU BOIS JAUNI;"Fromage et produit laitier;Fruits / légumes;Produits du terroir (boutique);Vins";;;2 Rue Pierre de Coubertin;;44150;;ANCENIS-SAINT-GEREON;;44003;47.379206;-1.1874196;;;02 40 96 60 83;;lemarcheduboisjauni@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.379206,-1.1874196;Loire-Atlantique
L'ÉPICERIE D'EMMA - ÉPICERIE SANS EMBALLAGES;"Biscuit;Café;Confiture;Cosmétique;Epices / Condiment;Fruits / légumes;Produits cidricoles / Jus de fruit;Produits du terroir (boutique)";;;2 Rue Pierre Potiron;;44130;;FAY-DE-BRETAGNE;;44056;47.414065;-1.792538;;;09 50 42 82 90;;epiceriedemma@gmail.com;;;;Facebook||https://www.facebook.com/lepiceriedemma/;;Agro-alimentaire;;;non;;;;;Français;;non;;;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.414065,-1.792538;Loire-Atlantique
SCEA CHARPENTIER;;;;2 zone conchylicole;Le Marais;44770;;LA PLAINE-SUR-MER;;44126;47.15023;-2.21984;;;02 51 74 86 99;;scea.charpentier@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.15023,-2.21984;Loire-Atlantique
LES JARDINS DE NEUVY;Fruits / légumes;;;20 rue de la Touche;;44260;;PRINQUIAU;;44137;47.36725;-2.03366;;06 63 87 63 64;;;lesjardinsdeneuvy@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.36725,-2.03366;Loire-Atlantique
MIELS ABRAHAM;Produits apicoles;;;20 rue du Val de Sarthe;;49125;;TIERCE;;49347;47.6122551;-0.4694224;;06 27 11 85 37;02 41 42 67 50;;abraham.bernard412@orange.fr;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;oui;;;;;;;;;oui;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.6122551,-0.4694224;Maine-et-Loire
DOMAINE DES HAUTS SENTIERS;;;;23, rue des Moulins;;49700;;LES ULMES;;49359;47.22456;-0.17916;;;02 41 38 34 68;02 41 67 83 29;scea.rouxfils@wanadoo.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.22456,-0.17916;Maine-et-Loire
DAMIEN CORNET;;;;24 rue du Bran;;44160;;CROSSAC;;44050;47.41443;-2.17302;;06 65 76 29 06;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.41443,-2.17302;Loire-Atlantique
DOMAINE DU VERGER;Vins;;;27 Rue des Combattants en A.f.N;FAYE-D’ANJOU;49380;;BELLEVIGNE-EN-LAYON;;49345;47.2956914;-0.5177807;;06 24 63 26 26;;;domaineduverger@yahoo.com;http://www.domaine-du-verger.com;;;;;Viticulture;Agriculture Biologique (AB);;;;;;;Français;"Anjou Blanc;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé d'Anjou";;;;;;;;;;;;;;;;;;;;;;;47.2956914,-0.5177807;Maine-et-Loire
LA MICROBRASSERIE DU CANAL;Bières;;;29 Rue Louis Guihot;;44130;;BOUVRON;;44023;47.41822;-1.84853;;06 10 40 54 32;;;;;;;Facebook||https://fr-fr.facebook.com/biere.leclusiere/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.41822,-1.84853;Loire-Atlantique
BISCUITERIE LA TRINITAINE;"Bières;Biscuit;Brioche et viennoiserie;Confiserie / chocolat;Confiture;Epices / Condiment;Fruits / légumes;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Sel;Spiritueux;Vins";;;3 quai du Port Ciguet;14 quai de la Petite Chambre;44490;;LE CROISIC;;44049;47.29581;-2.51339;;;02 40 23 06 05;;contact@saveursdebretagne.com;https://www.latrinitaine.com/;;;;;"Activités de la mer;Viticulture";;;non;;;;;;;;;;;;;;oui;;;;;oui;;;;;;;;;"Cartes bancaires;Espèces";47.29581,-2.51339;Loire-Atlantique
ATELIER LIANE PIA;Peinture;;;3 rue Laënnec;Rozé;44550;;SAINT-MALO-DE-GUERSAC;;44176;47.35949;-2.18606;;06 07 11 27 79;;02 28 55 91 22;lianepia@free.fr;http://www.artactif.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;oui;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.35949,-2.18606;Loire-Atlantique
DOMAINE DU BOURG NEUF;;;;31 rue du Bourg Neuf;;49400;;VARRAINS;;49362;47.22073;-0.06785;;06 07 84 70 86;02 41 52 94 43;02 41 52 94 53;domaine.bourgneuf@orange.fr;http://www.domainedubourgneuf.com/;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.22073,-0.06785;Maine-et-Loire
LA FERME DE CHEZ NOUS;Produits du terroir (boutique);;;35 Rue Denis Papin;SAINT-MACAIRE-EN-MAUGES;49450;;SEVREMOINE;;49301;47.11466;-0.98701;;;0241499940;partenaire Ôsez Mauges 2022;saintmacaire49@lafermedecheznous.fr;https://www.lafermedecheznous.fr/;;;"Facebook||https://www.facebook.com/lafermedecheznoussaintmacaire;Instagram||https://www.instagram.com/lafermedecheznoussaintmacaire/?hl=fr";;;;;;;;;;;;;;;;;non;non;non;non;non;non;;non;;oui;03/01/2022||31/12/2022||||||||||||||09:00||13:00||15:00||19:00||09:00||13:00||15:00||19:00||09:00||13:00||||||09:00||||||19:00||09:00||13:00||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.11466,-0.98701;Maine-et-Loire
BOURNIGAULT GOURMET;"Bières;Produits du terroir (boutique);Spiritueux;Vins";;;364 Boulevard de la Prairie;Espace 23;44150;;ANCENIS-SAINT-GEREON;;44003;47.373762;-1.1933482;;06 47 95 04 36;02 40 96 64 27;;contact@cavebournigault.com;http://www.cavebournigault.com;;;"Facebook||https://www.facebook.com/cavebournigault/;Instagram||https://www.instagram.com/cavebournigault/";;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;oui;;"Cartes bancaires;Espèces";47.373762,-1.1933482;Loire-Atlantique
CHRISTOPHE LEROUX;;;;38 Savenas;;44350;;GUERANDE;;44069;47.36094;-2.40669;;;06 98 00 70 59;;leroux.savenas@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.36094,-2.40669;Loire-Atlantique
CONFISERIE MIGNON;Brioche et viennoiserie;;;4,5 Promenade du Port;;44510;;LE POULIGUEN;;44135;47.27515;-2.42582;;;02 40 42 35 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.27515,-2.42582;Loire-Atlantique
DOMAINE FAMILLE LEBAS;Vins;;;405 La Haie 3 sous;;44690;;MAISDON-SUR-SEVRE;;44088;47.1243877;-1.4037769;;;06 60 58 62 78;;herve.lebas@neuf.fr;http://www.famille-lebas.com/;;;;;Viticulture;"Bienvenue à la Ferme;Haute valeur environnementale (HVE)";;non;;;;;Anglais;;;;;;;;;oui;;;;;;;oui;01/01/2022||31/12/2022||||||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.1243877,-1.4037769;Loire-Atlantique
LA TOUTE PETITE FERME;"Confiserie / chocolat;Fruits / légumes;Glace;Produits apicoles";;;414 La Foltière;;44440;;TRANS-SUR-ERDRE;;44207;47.4804489;-1.3841179;;06 76 03 58 55;;;latoutepetiteferme@laposte.net;http://la-toute-petite-ferme.simplesite.com/443469368;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;47.4804489,-1.3841179;Loire-Atlantique
GRAINES DE BIO;"Bières;Bijou;Biscuit;Brioche et viennoiserie;Confiserie / chocolat;Confiture;Cosmétique;Eau;Epices / Condiment;Foie gras;Fromage et produit laitier;Fruits / légumes;Glace;Huile;Pain / Pâtisserie;Poisson;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Salaisons;Sel;Spiritueux;Viande;Vins;Volailles / Oeufs";;;5 bis Place du Champ de foire;;44390;;NORT-SUR-ERDRE;;44110;47.4362067;-1.500346;;06 31 33 22 36;02 51 81 90 72;;contact@grainesdebio.com;http://www.grainesdebio.com;;;Facebook||https://www.facebook.com/GrainesDeBio;;"Agriculture / horticulture / Pêche;Artisanat / Art";Agriculture Biologique (AB);;non;;;;;"Anglais;Espagnol;Français";"Anjou Blanc;Anjou Coteaux de la Loire;Anjou Gamay;Anjou Rouge;Coteaux d'Ancenis;Coteaux du Loir;Crémant de Loire;Muscadet;Muscadet Coteaux de la Loire;Muscadet Sèvre-et-Maine;Rosé d'Anjou;Rosé de Loire";;;;;;;;;;;;Français;;;oui;||||Journée continue le Vendredi||Fermé le lundi||||||||||09:00||12:30||15:30||19:00||09:30||12:30||15:30||19:00||09:30||12:30||15:30||19:00||09:00||||||19:00||09:00||13:00||||||||||||;Graines de Bio||02 51 81 90 72||contact@grainesdebio.com;;;;;Chèques bancaires et postaux;47.4362067,-1.500346;Loire-Atlantique
GALERIE CCX;Peinture;;;5 carrefour de la Psalette;;44350;;GUERANDE;;44069;47.32777;-2.43029;;06 62 20 76 96;02 40 42 99 83;;contact@cedrixcrespel.com;http://www.cedrixcrespel.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/04/2021||30/09/2021||||||||||||||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30;;;;;;;47.32777,-2.43029;Loire-Atlantique
PETITE MADAME;Bijou;;;5 carrefour de la Psalette;;44350;;GUERANDE;;44069;47.32777;-2.43029;;06 62 20 76 96;02 40 42 99 83;;infos@cedrixcrespel.com;http://www.cedrixcrespel.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/04/2021||30/09/2021||||||||||||||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30||11:15||12:15||15:00||18:30;;;;;;;47.32777,-2.43029;Loire-Atlantique
FERME MARINE LES JARDINS DE LA MER;Produits du terroir (boutique);;;5 rue Raymond Poincaré (adresse postale);Avenue de Saint-Goustan (entrée visiteurs);44490;;LE CROISIC;;44049;47.29795;-2.52789;;06 68 98 96 34;09 75 75 84 07;;contact@lesjardins-delamer.fr;http://www.lesjardins-delamer.fr;;;;;;;;non;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.29795,-2.52789;Loire-Atlantique
CHÂTEAU FESSARDIÈRE;;;;5, rue des Martyrs;;49730;;TURQUANT;;49358;47.22154;0.02806;;;02 41 51 48 89;02 41 38 18 49;la-fessardiere@wanadoo.fr;http://www.chateaudelafessardiere.com;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.22154,0.02806;Maine-et-Loire
LE PETIT CLOS;"Fruits / légumes;Volailles / Oeufs";;;53 bis Lieu Dit le Grand Bois Gas;LA POMMERAYE;49620;;MAUGES-SUR-LOIRE;;49244;47.3503948;-0.8453485;;0611963642;;;lepetitclos@outlook.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3503948,-0.8453485;Maine-et-Loire
BISCUITERIE DE SAINT-BREVIN;Biscuit;;;54 Avenue du Président Roosevelt;;44250;;SAINT-BREVIN-LES-PINS;;44154;47.2289;-2.17422;;;02 40 21 09 58;;service-clients@biscuiteriedesaintbrevin.com;;;;;;Agro-alimentaire;;;oui;;;;;;;;;;;;;;;;;;;;;oui;"01/01/2018||31/03/2018||||||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00;01/04/2018||30/06/2018||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||;01/07/2018||31/08/2018||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||;01/10/2018||31/03/2019||||||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00||09:30||13:00||14:00||19:00";;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.2289,-2.17422;Loire-Atlantique
L'ATELIER DE CLOTILDE;Peinture;;;57 faubourg Saint-Michel;;44350;;GUERANDE;;44069;47.32554;-2.42273;;;06 03 78 92 51;;fclotildebernos@gmail.com;http://fclotildebernos.blogspot.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Chèques bancaires et postaux;Espèces";47.32554,-2.42273;Loire-Atlantique
GERMAINE GALERIE;;;;6 avenue Pavie;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28215;-2.40513;;06 37 85 15 63;;;germainegalerie@gmail.com;https://galeriegermaine.fr/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28215,-2.40513;Loire-Atlantique
DOMAINE LE CLOS DU BEUGNON;Vins;;;6 Le Beugnon;La Fosse-de-Tigné;49540;LYS-HAUT-LAYON;LYS-HAUT-LAYON;;49373;47.17382;-0.43947;;;02 41 38 24 87;;closdubeugnon@yahoo.fr;http://closdubeugnon.com/;;;;;Viticulture;Haute valeur environnementale (HVE);;;;;;;"Anglais;Français";"Anjou Blanc;Anjou Gamay;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé d'Anjou;Rosé de Loire;Saumur Brut;Saumur Rosé";;;oui;1 heure;;;;;;oui;;Français;;;oui;01/01/2022||31/12/2022||||||09:00||12:00||14:00||17:30||09:00||12:00||14:00||17:30||09:00||12:00||14:00||17:30||09:00||12:00||14:00||17:30||09:00||12:00||14:00||17:30||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.17382,-0.43947;Maine-et-Loire
LA FERME DE LA VIE;Pain / Pâtisserie;;;6 Lieu-dit La Bourrie;;44650;;LEGE;;44081;46.89648;-1.60541;;;;;;https://www.facebook.com/Ferme-de-LaVie-100172871652660/;;;Facebook||https://www.facebook.com/Ferme-de-LaVie-100172871652660;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;;46.89648,-1.60541;Loire-Atlantique
CAFÉ GRÉO;Produits du terroir (boutique);;;6 place du Marché au bois;;44350;;GUERANDE;;44069;47.3277;-2.4263;;;02 40 24 90 05;;contact@cafes-greo.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||09:30||12:30||16:00||18:00||09:30||12:30||16:00||18:00||09:30||12:30||16:00||18:00||09:30||12:30||16:00||18:00||09:30||12:30||16:00||18:00||||||||;;;;;;;47.3277,-2.4263;Loire-Atlantique
LES FLEURS DE MAELENN;Plantes et fleurs;;;66 Rue Joliot-curie;;44720;;SAINT-JOACHIM;;44168;47.38236;-2.20031;;06.81.21.25.80;;;lesfleursdemaelenn@gmail.com;https://www.lesfleursdemaelenn.com/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.38236,-2.20031;Loire-Atlantique
ATELIER SINON - SURFBOARDS;;;;68 route de Brezéan;Brezéan;44350;;GUERANDE;;44069;47.36351;-2.4521;;;06 67 32 40 40;;contact-surfboards@ateliers-sinon.fr;https://ateliers-sinon.fr/surfboards/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.36351,-2.4521;Loire-Atlantique
ATELIER LIBR'ESTAMPE : OEUVRES SUR PAPIER, LIVRES D'ARTISTES, LIVRES D'ART, BIJOUX;;;;8 Rue Fouquet de la Varenne;;53270;;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.0973051;-0.349287;;06 66 18 89 29;;;;;;;;;Artisanat / Art;Métiers d'art;;non;;;;;Français;;;;;;;;;;;oui;oui;"Français;Anglais";oui;;non;;;;;oui;;;48.0973051,-0.349287;Mayenne
KOUIGN BIHEN;"Confiserie / chocolat;Pain / Pâtisserie";;;9 rue Saint Michel;Intra-Muros;44350;;GUERANDE;;44069;47.32758;-2.4284;;;02 51 73 05 96;;gildas.lebihen@orange.fr;http://www.kouign-bihen.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"01/01/2021||30/04/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/05/2021||30/09/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/10/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;;;47.32758,-2.4284;Loire-Atlantique
DOMAINE DU CLOS DE LASSAY;;;;Chambernou;;49260;;SAINT-MACAIRE-DU-BOIS;;49302;47.11496;-0.30507;;06 83 46 36 78;02 41 52 26 04;;contact@domainecloslassay.fr;http://www.domainecloslassay.fr/;;;;;Viticulture;;;;;;;;"Anglais;Français";;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux;47.11496,-0.30507;Maine-et-Loire
TERRE SUCRÉE;"Confiture;Volailles / Oeufs";;;Chantepie;;53400;;ATHEE;;53012;47.894855;-0.9354829;;06 42 06 71 39;02 43 07 66 65;;terre-sucree@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.894855,-0.9354829;Mayenne
EARL DAMIEN LAUREAU;Vins;;;Chemin du Grand Hamé;Epiré;49170;SAVENNIERES;SAVENNIERES;;49329;47.40355;-0.64466;;;09 64 37 02 57;;damien.laureau@orange.fr;https://www.domainelaureau.fr/fr;;;;;Viticulture;;;;;;;;"Anglais;Français";;;;;;;;;;;;;Anglais;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.40355,-0.64466;Maine-et-Loire
FERME DES ETAMINES;Fromage et produit laitier;;;L'Emonière;;44190;;SAINT-LUMINE-DE-CLISSON;;44173;47.083204;-1.337138;;;02 40 03 80 45;;ferme-les-etamines@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.083204,-1.337138;Loire-Atlantique
FERME DE LA BLANCHETIÈRE;Fromage et produit laitier;;;La Blanchetière;Belligné;44370;;LOIREAUXENCE;;44213;47.4860514;-1.0646378;;;02 40 96 83 16;;chevres.blanchetiere@orange.fr;http://www.lablanchetiere.fr;;;Facebook||https://www.facebook.com/GaecDeLaBlanchetiere/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;||||ouvert du mardi au samedi de 9h à 11h||||||||||||09:00||11:00||||||09:00||11:00||||||09:00||11:00||||||09:00||11:00||||||09:00||11:00||||||||||||;;;;oui;;Espèces;47.4860514,-1.0646378;Loire-Atlantique
FERME DE LA BRÉGEONNERIE;"Produits du terroir (boutique);Rillettes;Viande;Volailles / Oeufs";;;La Brégeonnerie;;44390;;NORT-SUR-ERDRE;;44110;47.4679992;-1.5058675;;06 43 95 91 74;02 40 72 25 10;;fermedelabregeonnerie@gmail.com;http://fermedelabregeonnerie.fr/index.php;;;Facebook||https://www.facebook.com/fermedelabregeonnerie/;;Agro-alimentaire;Bienvenue à la Ferme;;non;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;47.4679992,-1.5058675;Loire-Atlantique
LE CHOU KALÉ;Fruits / légumes;;;La Bézillière;;44650;;LEGE;;44081;46.88115;-1.51579;;06 44 25 83 09;;;lechoukale@gmail.com;www.lechoukale.fr;;;Facebook||https://www.facebook.com/lechoukale/?ref=page_internal;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;46.88115,-1.51579;Loire-Atlantique
LES DELICES DE L'AIR MARIN;Glace;;;La Fradouillère;;44760;;LES MOUTIERS-EN-RETZ;;44106;47.07027;-1.96594;;;06 32 50 54 80;;delicesairmarin@orange.fr;http://www.delicesairmarin.com;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||10:00||12:30||||||15:30||18:30||||||10:00||12:30||15:30||18:30||09:30||12:30||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.07027,-1.96594;Loire-Atlantique
FERME DU CHÊNE LONG;Fromage et produit laitier;;;La Penoue;;44390;;PETIT-MARS;;44122;47.397154;-1.441266;;0665263988;;;lafromagerieduchenelong@gmail.com;http://lafromagerieduchenelong.tk/;;;Facebook||https://www.facebook.com/aurelie.clouet.54?__tn__=%2CdC-R-R&eid=ARC2I_9xZbNthj-7ADNJKO9cw6Fmbl9ibXkzgBsdWwkIx5JJ0lgXQC8GL9EuMGYDgpbvhK-T1bohHMuR&hc_ref=ARRihaBqWjzs6EnHeivlD6u-0CEkAuwlEauqYG31JUS7QnNb2W3P8ozQuSZUnCrjico&fref=nf;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.397154,-1.441266;Loire-Atlantique
FANE DE LÉGUMES;Fruits / légumes;;;la petite Jevellerie;;72110;;BONNETABLE;;72039;48.194076;0.46094302;;02 43 29 64 07;;;fdl72110@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.194076,0.46094302;Sarthe
FERME DES RACINES - VENTE À LA FERME;Fromage et produit laitier;;;La Piletterie;Broc;49490;;NOYANT-VILLAGES;;49228;47.585243;0.220846;;06 73 47 52 94;;;contact@lafermedesracines.com;https://www.lafermedesracines.com/;;;Facebook||https://www.facebook.com/La-ferme-des-racines-722683951224854/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;oui;;oui;;oui;01/01/2022||31/12/2022||Vente à la ferme les vendredis et samedis de 8h30 à 12h30||||||||||||||||||||||||||||||||||||08:30||12:30||||||08:30||12:30||||||||||||;Frédéric Vinçon||06 73 47 52 94||contact@lafermedesracines.com;;;oui;Tarif indiv. adulte||1,00||||Yaourt à partir d'1€, fromage à partir de 2€;;47.585243,0.220846;Maine-et-Loire
LE RUCHER PÉTRIORMOIS;Produits apicoles;;;La Robillarderie;;72600;;SAINT-PIERRE-DES-ORMES;;72313;48.303488;0.42393;;06 70 20 56 02;;;;https://www.facebook.com/lerucherpetriormois;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.303488,0.42393;Sarthe
GAEC LES CHÈVRES DU BOIS NOZAY;"Fromage et produit laitier;Produits du terroir (boutique)";;;Le Bois Nozay;;44410;;SAINT-LYPHARD;;44175;47.36917;-2.33068;;;06 98 42 67 62;;leschevresduboisnozay@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;14/03/2022||31/12/2022||||||||||||||||||||||17:00||19:00||||||||||||||17:00||19:00||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.36917,-2.33068;Loire-Atlantique
LA FERME DU BOISVREUIL;;;;Le Boisvreuil;;44780;;MISSILLAC;;44098;47.50715;-2.20452;;06 08 97 27 87;02 99 90 87 11;;clairicor@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.50715,-2.20452;Loire-Atlantique
CHIC TENTATION;"Bijou;Textile / Habillement / Chaussure";;;Le Bourg;;72600;;VILLAINES-LA-CARELLE;;72374;48.3749678;0.28619556;;06 07 10 74 51;02 43 34 58 14;;;https://chic-tentation.com/;;;;;Artisanat / Art;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;48.3749678,0.28619556;Sarthe
PRODUITS CIDRICOLES - ERIC BORDELET;Produits cidricoles / Jus de fruit;;;Le Château de Hauteville;;53250;;CHARCHIGNE;;53061;48.426153;-0.396641;;;02.43.03.95.72;;eric@ericbordelet.com;www.ericbordelet.com;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;48.426153,-0.396641;Mayenne
ROMAIN FOHANNO : OSTRÉICULTEUR-CONCHYLICULTEUR;Fruits de mer;;;Le Frostidié;;44410;;ASSERAC;;44006;47.41162;-2.42894;;06 87 42 91 10;;;romain.fohanno@hotmail.fr;http://www.huitres-de-mesquer-penbe.bzh;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.41162,-2.42894;Loire-Atlantique
